Moisture,Permiability,Compressive Strength,Volatile Content,Pouring Time,Pouring Term,Mold Hardness,%  Defect,% Acceptance
2.5,90.0,1300.0,2.0,60.0,1300.0,90.0,15.0,85.0
2.5,90.0,1375.0,2.5,65.0,1350.0,95.0,14.0,86.0
2.5,90.0,1450.0,3.0,80.0,1400.0,100.0,17.5,82.5
2.5,115.0,1450.0,2.5,80.0,1400.0,100.0,18.0,82.0
2.5,115.0,1450.0,3.0,60.0,1300.0,90.0,21.0,79.0
2.5,,1300.0,2.0,65.0,1350.0,95.0,18.0,82.0
2.5,140.0,1450.0,3.0,65.0,1350.0,95.0,16.0,84.0
2.5,140.0,1300.0,2.0,80.0,1400.0,100.0,19.0,81.0
2.5,140.0,1375.0,2.5,60.0,1300.0,90.0,18.0,82.0
3.0,90.0,1300.0,2.5,60.0,1350.0,100.0,17.0,83.0
3.0,90.0,1375.0,3.0,65.0,1400.0,90.0,17.0,83.0
3.0,90.0,1450.0,2.0,80.0,1300.0,95.0,19.0,81.0
3.0,115.0,1375.0,3.0,80.0,1300.0,95.0,20.0,80.0
3.0,115.0,1450.0,2.0,60.0,1350.0,100.0,21.0,79.0
3.0,115.0,1300.0,2.5,65.0,1400.0,90.0,22.0,78.0
3.0,140.0,1450.0,2.0,65.0,1400.0,90.0,21.0,79.0
3.0,140.0,1300.0,2.5,80.0,1300.0,90.0,17.0,83.0
3.0,140.0,1375.0,3.0,60.0,1350.0,95.0,18.0,82.0
3.5,90.0,1300.0,3.0,65.0,1400.0,95.0,19.0,81.0
3.5,90.0,1375.0,2.0,80.0,1300.0,100.0,17.0,83.0
3.5,90.0,1450.0,2.5,80.0,1350.0,90.0,19.0,81.0
3.5,115.0,1375.0,2.0,80.0,1400.0,90.0,18.0,82.0
3.5,115.0,1450.0,2.5,60.0,1400.0,95.0,18.0,82.0
3.5,115.0,1300.0,3.0,65.0,1300.0,100.0,19.0,81.0
3.5,140.0,1300.0,2.5,65.0,1300.0,100.0,17.0,83.0
3.5,140.0,1375.0,3.0,80.0,1350.0,90.0,16.0,84.0
3.5,140.0,1450.0,2.0,60.0,1400.0,95.0,17.0,83.0
5.153742970249702,230.2272200594931,1621.871350022039,2.980352983708819,80.42596855925504,1983.6980669220134,-15.891183313275235,21.324325110392177,52.24105764858254
5.039298195911571,91.42509293717016,1618.293993820438,1.0600435218636273,61.57256398539724,1980.3656558348912,110.73616888059621,15.77783168508762,63.64035489104603
3.0398945895804044,100.90845645040821,1130.806223178665,3.3103201753560643,34.74598116776539,1580.0393888067265,142.4889179242833,26.190972078756992,76.24215548154426
2.3877284534786023,133.02700256711844,1475.511786818664,2.826035637886589,66.02086346096945,2051.558636282527,112.50758579090768,18.650504301665276,59.91287095228308
2.8234808565958764,123.45530996894743,1274.5568409568602,2.76250920591179,97.07209952957399,1645.1886224051095,82.07673982142728,16.783902095982228,63.913941228989955
2.7074155553323314,64.7772249909162,1875.5444275366258,1.0187088962997592,64.68255104843008,1660.8499100104473,103.57357907864028,19.022482824799216,92.25021283376226
1.7988618328396004,121.06371219979519,1690.1692374362476,3.0667043010560318,96.42587117403349,1372.8173992847574,46.768263962046944,18.95778409234142,68.03254609895512
2.3835384282512235,94.78312896940798,1531.471064407643,1.4709312832513541,123.79071940383045,1477.7894128210394,93.59179486573882,11.685889719668904,74.50833518220476
3.7079877809112887,151.87102778297313,1245.576152521049,1.9886756069505767,52.22421936801351,1153.4143606187138,96.75094000109674,24.858892584360945,70.02549788551435
1.1799196649494257,80.42100709708879,1892.4580749407505,1.9103109343512348,108.42280265770337,1252.5965827043212,168.76971504782904,31.071905736421172,38.15179917264109
2.860725740617274,65.6192050152659,1680.0322073522045,1.2657167059015428,39.91965960018558,880.8731404180108,55.4080983049079,17.009288633387577,38.05749520317041
3.5582344204759493,170.8375507667583,1032.5023482802496,3.134240006599588,31.744609102677195,1650.3655251295934,132.55439229228085,20.618984283865075,74.81235002008326
2.6910867692154476,205.12198309298688,721.5792247108512,2.367824759673552,41.59627429624369,1359.82347375311,37.42727526518558,27.302412744680417,121.86068341030114
2.702077312865461,107.78538508476034,975.0281235235755,2.091873589651241,37.93610035738792,1105.9958451230389,98.39565414993963,33.191408954699156,37.476983696209246
1.8253820453623604,104.50949985148874,884.2103500894088,2.2915585043205073,70.29642799857848,1653.2521845184815,124.25244217273388,10.207227782456737,75.99258721245087
2.131339833506318,35.67415230681089,1596.7035978235876,1.5983589463021866,115.9627155264904,1960.0141596430606,145.9927069423146,27.962835283867328,56.105490215397154
